"","Response","family","link","method","Marginal","Conditional","date_2"
"255","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.57,0.98,2020-05-07
"256","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-07
"257","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-08
"258","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-08
"259","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.98,2020-05-08
"260","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-08
"261","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-09
"262","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-09
"263","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.98,2020-05-09
"264","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-09
"265","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-05-10
"266","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.94,2020-05-10
"267","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.65,0.98,2020-05-10
"268","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-10
"269","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-11
"270","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-05-11
"271","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.98,2020-05-11
"272","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.27,0.97,2020-05-11
"273","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-12
"274","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-05-12
"275","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.98,2020-05-12
"276","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-05-12
"277","log.new_cases.per1M","gaussian","identity","none",0.89,0.89,2020-05-13
"278","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-05-13
"279","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.65,0.98,2020-05-13
